,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年
1月1日,2313,2377,2201,2372,2547,2409,2302,2263,2118,2139,2018,2042,1950,1910,1964,2012,1877,1902,1873,1777
1月2日,2320,2431,2373,2362,2454,2334,2341,2307,2245,2046,2022,2107,2067,1922,2069,1961,1989,1837,1883,1800
1月3日,2481,2507,2525,2560,2603,2591,2426,2388,2329,2184,2210,2316,2163,2221,2155,2090,2038,1991,1948,1946
1月4日,3093,2919,2576,3049,3207,3308,3176,2720,2363,2956,2934,3082,3187,2222,2877,2959,3019,3095,2430,2132
1月5日,3707,2793,3246,3811,3836,3942,3248,2626,3219,3697,3548,3810,2851,3150,3614,3548,3722,2723,2193,3134
1月6日,3157,3431,3901,3723,3857,3172,2721,3381,3766,3482,3454,2817,2311,3646,3439,3358,3543,2186,3156,3516
1月7日,2592,3793,3566,3421,3698,2525,3427,3564,3582,3390,2651,2448,3299,3468,3463,3396,2505,3179,3390,3268
1月8日,3563,3508,3491,3503,2911,2541,3767,3541,3389,2642,2338,2215,3505,3388,3351,2396,2033,3280,3112,3047
1月9日,3576,3216,3240,2684,2617,3479,3328,3280,3194,2247,2203,3251,3197,3318,2540,2144,2178,3072,2966,3119
1月10日,3304,3489,2785,2481,2650,3715,3302,3340,2732,2424,3185,3448,3232,2547,2176,2153,3152,3101,3058,2347
1月11日,3382,2963,2583,3802,3581,3494,3589,2879,2333,3304,3483,3317,3485,2173,2244,3299,3486,3142,2309,2056
1月12日,3598,2608,3411,3733,3984,3436,3016,2496,2524,3610,3295,3322,2585,2254,3232,3416,3212,2408,1999,2019
1月13日,2862,3513,3905,3686,3560,2912,2510,2503,3178,3296,3094,2655,2250,3243,3451,3290,3064,2031,2022,3072
1月14日,2514,3840,3670,3566,3506,2575,2516,3240,3509,3322,2561,2319,2256,3493,3302,3156,2424,2089,3086,3360
1月15日,2728,2762,2652,2702,3058,3367,3497,3688,3557,2689,2384,3160,3183,3478,3453,2554,2139,3226,3323,3241
1月16日,3615,3436,3526,2986,2542,3517,3655,3456,3354,2356,3171,3301,3531,3231,2484,2204,3104,3205,3136,3190
1月17日,3642,3632,3078,2752,3340,3410,3402,3433,2723,3255,3390,3252,3422,2602,2241,3050,3380,3243,3078,2287
1月18日,3491,2995,2730,3594,3794,3501,3558,2753,2464,3525,3274,3125,3193,2315,3122,3209,3168,3164,2317,2092
1月19日,3395,2735,3569,3842,3531,3546,2890,2554,3253,3246,3273,3177,2663,3322,3283,3137,2964,2417,1941,2939
1月20日,3050,3636,3805,3681,3631,3065,2653,3508,3413,3299,3299,2646,2374,3356,3288,3161,3171,2074,2919,3282
1月21日,2691,3829,3711,3685,3664,2660,3537,3685,3500,3350,2770,2483,3256,3474,3368,3271,2567,3097,3108,3136
1月22日,3609,3472,3514,3391,3036,3572,3678,3452,3446,2714,2400,3268,3542,3374,3357,2550,2185,3317,3142,2988
1月23日,3722,3552,3544,2945,2794,3700,3503,3467,3390,2389,3330,3502,3423,3229,2640,2302,3173,3265,3047,3172
1月24日,3466,3476,3095,2693,3554,3531,3489,3452,2685,3320,3424,3297,3269,2689,2305,3183,3281,3069,3007,2316
